Dataset,Noise Type,Noise Level Index,Accuracy Mean,Accuracy SE,Relabelling F1 Mean,Relabelling F1 SE,Relabelling Accuracy Mean,Relabelling Accuracy SE
19,0,8,0.137836604,0.00771562,0.256666262,0.011736372,0.166861264,0.009062873
19,0,9,0.136010954,0.006626078,0.241709858,0.009541529,0.138740662,0.006900685
19,1,0,0.882884528,0.002279699,0.028571429,0.028571429,0.028571429,0.028571429
19,1,1,0.895481515,0.001967158,0.235940169,0.010749034,0.147802198,0.008212888
19,1,2,0.89237791,0.002994698,0.449322203,0.00701991,0.296428571,0.006210697
19,1,3,0.850935646,0.002830278,0.59016766,0.008186589,0.425091575,0.008753561
19,1,4,0.746873574,0.004256442,0.616709975,0.006319026,0.456456044,0.006618714
19,1,5,0.626654496,0.004751697,0.583671136,0.005186713,0.436923077,0.004137931
19,1,6,0.46992241,0.005769519,0.414901657,0.00743024,0.308058608,0.005793452
19,1,7,0.28078503,0.004555634,0.144343499,0.004383754,0.09532967,0.003029001
19,1,8,0.155910543,0.003191665,0.129711645,0.003492725,0.077747253,0.002241168
19,1,9,0.117298037,0.002255599,0.036050058,0.002615401,0.018417442,0.001359386
19,2,0,0.8840712,0.002739818,0,0,0,0
19,2,1,0.895207668,0.002225849,0,0,0,0
19,2,2,0.895937928,0.00258091,0,0,0,0
19,2,3,0.877042446,0.002849694,0,0,0,0
19,2,4,0.82318576,0.004485756,0,0,0,0
19,2,5,0.705248745,0.006404985,0,0,0,0
19,2,6,0.450205386,0.010902952,0,0,0,0
19,2,7,0.142492013,0.004387653,0,0,0,0
19,2,8,0.113099042,0.00222739,0,0,0,0
19,2,9,0.117480602,0.002519697,0,0,0,0
